stored_as,restored_to
"Pedro Jaro","Pedro Luis Jaro"
"Barış Yılmaz","Barış Alper Yılmaz"
"Trond Ludvigsen","Trond Fredrik Ludvigsen"
"Árni Arason","Árni Gautur Arason"
"Luigi Biagio","Luigi Di Biagio"
"Vicente Romero","Vicente Romero Romero"
"Miguel Nadal","Miguel Ángel Nadal"
"Sebastián Cardona","Sebastián Pérez Cardona"
"Ahmed Hosny","Ahmed Salah Hosny"
"Julio Pinheiro","Julio César Pinheiro"
"Dedi Dayan","Dedi Ben Dayan"
"Marcus Tanaka","Marcus Tulio Tanaka"
"José Lledó","José Vicente Lledó"
"Moisés Angulo","Moisés Villarroel Angulo"
"José Guerrero","José Félix Guerrero"
"Rafael Vázquez","Rafael Martín Vázquez"
"David Freitas","David de Freitas"
"José Campos","José Sinval de Campos"
"Robert Campbell","Robert Thomas Campbell"
"Geert Vlieger","Geert De Vlieger"
"Juan Sukunza","Juan Luis Sukunza"
"Ronald Boer","Ronald de Boer"
"Carlos Mora","Carlos Castro Mora"
"Jan Visser","Jan de Visser"
"Étienne Djissikadié","Étienne Alain Djissikadié"
"Ramon Haaren","Ramon van Haaren"
"Hans Breukelen","Hans van Breukelen"
"Juan Valencia","Juan José Valencia"
"Miguel Soria","Miguel Ángel Soria"
"José Peris","José Vicente Simeón Peris"
"Miguel Hurtado","Miguel Ángel Hurtado"
"Antonio Pérez","Antonio Gómez Pérez"
"Vragel Silva","Vragel da Silva"
"Juan Francia","Juan Pablo Francia"
"Tahar Khalej","Tahar El Khalej"
"Ahmed Osman","Ahmed Saad Osman"
"Cheick Comara","Cheick Ibrahim Comara"
"Éric Meco","Éric Di Meco"
"Djibril Paye","Djibril Tamsir Paye"
"Juan Mora","Juan Luis Mora"
"Hussain Moqahwi","Hussain Al Moqahwi"
"Juan Medina","Juan Carlos Medina"
"Abdoulaye Gaye","Abdoulaye Sileye Gaye"
"Alberto Moreno","Alberto López Moreno"
"Glen Boeck","Glen De Boeck"
"Cedric Gun","Cedric van der Gun"
"Rubén Acebal","Rubén Darío Acebal"
"Antonio Gómez","Antonio Muñoz Gómez"
"Mohammed Khilaiwi","Mohammed Al Khilaiwi"
"Jan Ede","Jan Willem van Ede"
"Juan Chesa","Juan Antonio Chesa"
"Pierrick Bert","Pierrick Le Bert"
"Mohamed Aoudia","Mohamed Amine Aoudia"
"Alberto Arteseros","Alberto López Arteseros"
"Sidi Ethmane","Sidi Yacoub Ethmane"
"Nasir Kasmi","Nasir El Kasmi"
"Alejandro Nappi","Alejandro González Nappi"
"Pascual Gregorio","Pascual de Gregorio"
"Luis Seijas","Luis Manuel Seijas"
"Pedro Santos","Pedro Jorge Santos Santos"
"Paulo Barreto","Paulo Vitor Barreto"
"Francisco Rodríguez","Francisco Leal Rodríguez"
"Nawaf Abed","Nawaf Al Abed"
"Mario Pizarraya","Mario García Pizarraya"
"Jorge Nilo","Jorge Torres Nilo"
"Roberto Fernández","Roberto Carlos Fernández"
"Bruno Arias","Bruno Herrero Arias"
"Salem Siam","Salem Abu Siam"
"Bruno Andrade","Bruno Lança Andrade"
"Mohamed Rashed","Mohamed Al Rashed"
"Trond Soltvedt","Trond Egil Soltvedt"
"Francisco Jara","Francisco Javier Sánchez Jara"
"Jim Fessem","Jim van Fessem"
"Julio Rossi","Julio Hernán Rossi"
"Jonathan Mananga","Jonathan Buatu Mananga"
"Demy Zeeuw","Demy de Zeeuw"
"Tim Keyser","Tim De Keyser"
"Jorge Sánchez","Jorge Cordero Sánchez"
"Bassey Andem","Bassey William Andem"
"Abdallah Mohamed","Abdallah Ali Mohamed"
"Alain Baekel","Alain Van Baekel"
"Ricardo Pinto","Ricardo Sá Pinto"
"El Houeibib","El Hassen Houeibib"
"Badr Kaddouri","Badr El Kaddouri"
"Andrés Bernal","Andrés Pato Bernal"
"Christophe Grix","Christophe Le Grix"
"Julio Cruz","Julio Ricardo Cruz"
"Theódór Bjarnason","Theódór Elmar Bjarnason"
"Freddy Santos","Freddy dos Santos"
"Hans Haar","Hans van de Haar"
"José Morales","José Luis Morales"
"Johan Kock","Johan de Kock"
"Joris Hout","Joris Van Hout"
"Saad Sheeb","Saad Al Sheeb"
"David Silva","David Mendes da Silva"
