stored_as,restored_to
"Mohammed Sahlawi","Mohammed Al Sahlawi"
"Oceano Cruz","Oceano da Cruz"
"Jan Hesselink","Jan Vennegoor of Hesselink"
"Stéphane Garrec","Stéphane Le Garrec"
"Tim Cler","Tim de Cler"
"Tommie Leegte","Tommie van der Leegte"
"Thomas Heesen","Thomas von Heesen"
"Imed Younes","Imed Ben Younes"
"Mauricio Filho","Mauricio Leandrino da Silva Filho"
"Antonio Vitis","Antonio De Vitis"
"Julian Guzmán","Julian de Guzmán"
"Domenico Carlo","Domenico Di Carlo"
"Álex Sama","Álex Fernández Sama"
"Luis Alves","Luis Roberto Alves"
"Miguel Espínola","Miguel Ángel Espínola"
"José Galdames","José Manuel Galdames"
"José Caminero","José Luis Caminero"
"Jorge Campos","Jorge Luis Campos"
"José Vázquez","José Juan Vázquez"
"Óscar Rodríguez","Óscar Fernández Rodríguez"
"José Coca","José Agustín Cenzual Coca"
"Egoitz Gabiola","Egoitz Jaio Gabiola"
"Jorge Sáenz","Jorge Pérez Sáenz"
"Óscar Rojas","Óscar Pérez Rojas"
"Jorge Vargas","Jorge Francisco Vargas"
"Luis Postigo","Luis García Postigo"
"Simão Junior","Simão Mate Junior"
"Juan Prieto","Juan Manuel Prieto"
"David Luque","David Relaño Luque"
"Emilio Gallego","Emilio José López Gallego"
"Ramiro Mori","Ramiro Funes Mori"
"Juan Espín","Juan Valera Espín"
"Paulo Gomes","Paulo Jorge Soares Gomes"
"Ignacio Rodríguez","Ignacio Azpilikueta Rodríguez"
"Albert López","Albert Cano López"
"Julio Baldivieso","Julio César Baldivieso"
"Younes Shibani","Younes Al Shibani"
"José García","José Mari García"
"Jean Amonome","Jean Noel Amonome"
"Éric Meco","Éric Di Meco"
"Karl Fjørtoft","Karl Oskar Fjørtoft"
"José García","José Mari García"
"Tahar Khalej","Tahar El Khalej"
"Carlos Becerra","Carlos García Becerra"
"Bjørn Bragstad","Bjørn Otto Bragstad"
"Manuel Bejarano","Manuel Asian Bejarano"
"Mitchell Gaag","Mitchell van der Gaag"
"Sidi Amar","Sidi Bouna Amar"
"Francisco Villena","Francisco Javier Mulero Villena"
"Pierre Hooijdonk","Pierre van Hooijdonk"
"Raffaele Martino","Raffaele De Martino"
"José Cubero","José Miguel Cubero"
"Roberto Matteo","Roberto Di Matteo"
"Jordi Pérez","Jordi Ocaña Pérez"
"José Melo","José Rogério de Melo"
"Luis Martín","Luis Márquez Martín"
"Óscar Martínez","Óscar López Martínez"
"Luis López","Luis Diego López"
"Diego Ascentis","Diego De Ascentis"
"Luís Gomes","Luís Fábio Gomes"
"José Jurado","José Manuel Jurado"
"Sergio García","Sergio Tejero García"
"Raúl Campo","Raúl del Campo"
"Mehdi Slimane","Mehdi Ben Slimane"
"Juan Socorro","Juan Carlos Socorro"
"Iván López","Iván Alonso López"
"Antonio Fernández","Antonio Castro Fernández"
"José Torres","José Iván González Torres"
"Víctor Ferreras","Víctor Javier Ferreras"
"Pierre Hooijdonk","Pierre van Hooijdonk"
"Nassim Hnid","Nassim El Hnid"
"Carlos Ayala","Carlos Arroyo Ayala"
"Joseph Oshadogan","Joseph Dayo Oshadogan"
"Eduardo Martín","Eduardo Rodríguez Martín"
"José Miranda","José Antonio Miranda"
"Andy Meyde","Andy van der Meyde"
"Abdul Keïta","Abdul Kader Keïta"
"José Serrano","José Antonio Serrano"
"Juan Verón","Juan Sebastián Verón"
"José Prieto","José Miguel Prieto"
"Ovidiu Hanganu","Ovidiu Cornel Hanganu"
"José Costa","José Américo Taira da Costa"
"João Kapango","João Rafael Kapango"
"Philippe Walle","Philippe Vande Walle"
"Mikel Larrea","Mikel Aguirregomezkorta Larrea"
"René Eck","René van Eck"
"Jón Ragnarsson","Jón Erling Ragnarsson"
"Fabián Peña","Fabián Ruiz Peña"
"Andrea Cecco","Andrea De Cecco"
"Adam Kwarasey","Adam Larsen Kwarasey"
"César Loma","César de Loma"
"José Culebras","José Antonio Culebras"
"Élton Brandão","Élton Rodrigues Brandão"
"Farouk Mustapha","Farouk Ben Mustapha"
"Daniel Evuy","Daniel Vázquez Evuy"
"Enoque Guilherme","Enoque Paulo Guilherme"
"Diego Luz","Diego Rodríguez Da Luz"
"Miguel Puente","Miguel Ángel Brau Puente"
"Jean Kouassi","Jean Evrard Kouassi"
"Juan Peña","Juan Manuel Peña"
"Juan Torrecilla","Juan Antonio Montes Torrecilla"
"Jorge Sousa","Jorge Luiz Sousa"
"Erik Andersen","Erik Bo Andersen"
"Alex Rocco","Alex Di Rocco"
"Jón Böðvarsson","Jón Daði Böðvarsson"
"José Capdevila","José Luis Capdevila"
"Angelo Livio","Angelo Di Livio"
"Luis Verde","Luis Víctor Verde"
"Javier Pedro","Javier de Pedro"
"Régis Bris","Régis Le Bris"
"Saber Frej","Saber Ben Frej"
"Abdoul Sow","Abdoul Salam Sow"
"Bjørn Bragstad","Bjørn Otto Bragstad"
"Ulrich Gobbel","Ulrich van Gobbel"
"Wissem Yahia","Wissem Ben Yahia"
"Luis Yoldi","Luis Alfonso Sota Yoldi"
"Vragel Silva","Vragel da Silva"
"Okon Essien","Okon Flo Essien"
"José Ferrera","José Ángel Ferrera"
"António Serrado","António Luís dos Santos Serrado"
"Fernando López","Fernando Moreno López"
"Olivier Luca","Olivier De Luca"
"Émerson Firmino","Émerson Luiz Firmino"
"Diego Bustos","Diego Daniel Bustos"
"Almike N'Diaye","Almike Moussa N'Diaye"
"Carlos Varela","Carlos Sastre Varela"
"Pierre Hooijdonk","Pierre van Hooijdonk"
"Pa Jagne","Pa Modou Jagne"
"Alberto Moreno","Alberto López Moreno"
"Iván López","Iván Alonso López"
"Ibrahima Bangoura","Ibrahima Sory Bangoura"
"Stephane Ki","Stephane Aziz Ki"
"Julián Cañego","Julián Romero Cañego"
"Jan Solli","Jan Gunnar Solli"
"Ulrich Gobbel","Ulrich van Gobbel"
"César González","César Eduardo González"
"Samir d'Avesnes","Samir Bertin d'Avesnes"
"Vinh Willemin","Vinh Long Willemin"
"Messias Santos","Messias Conceição Dos Santos"
"Rogerio Brito","Rogerio Paulo Brito"
"Ángel González","Ángel Martín González"
"Fiston Razak","Fiston Abdoul Razak"
"Juan Pina","Juan Pedro Pina"
"César Loma","César de Loma"
"Carlos Vega","Carlos de la Vega"
"Morten Pedersen","Morten Gamst Pedersen"
"Bouchaib Moubarki","Bouchaib El Moubarki"
"Juan Menseguez","Juan Carlos Menseguez"
"Chokri Ouaer","Chokri El Ouaer"
"Basile Carvalho","Basile de Carvalho"
"Badra Sangaré","Badra Ali Sangaré"
"Jean-Emmanuel Owona","Jean-Emmanuel Effa Owona"
"Marco Loreto","Marco Di Loreto"
"Per Mordt","Per Edmund Mordt"
"Manuel Jiménez","Manuel Jiménez Jiménez"
"André Moreira","André Luiz Moreira"
"Alberto Díaz","Alberto Martínez Díaz"
"Robin Laan","Robin van der Laan"
"Alberto Aspe","Alberto García Aspe"
"José González","José Ramón Dacosta González"
"Abdelkrim Hadrioui","Abdelkrim El Hadrioui"
"Jorge Roldán","Jorge Pina Roldán"
"José Bakero","José Mari Bakero"
"Luis Zalbidegoitia","Luis Prieto Zalbidegoitia"
"Manuel Serra","Manuel Salvador Serra"
"Marc Hintum","Marc van Hintum"
"Erkka Lehtola","Erkka V. Lehtola"
"Tom Staurvik","Tom Kåre Staurvik"
"Petter Singsaas","Petter Christian Singsaas"
"Bjørn Bragstad","Bjørn Otto Bragstad"
"Ahmed Kamel","Ahmed Ali Kamel"
"Robert Tambe","Robert Ndip Tambe"
"José Calvo","José María Calvo"
"Rubén González","Rubén Estévez González"
"José Movilla","José María Movilla"
"Andre-Frank Anguissa","Andre-Frank Zambo Anguissa"
"Daniel Ricart","Daniel Sarabia i Ricart"
"Richard Boateng","Richard Kissi Boateng"
"Rubenilson Ferreira","Rubenilson Monteiro Ferreira"
"Alex Souza","Alex de Souza"
"Bjørn Bragstad","Bjørn Otto Bragstad"
"Francisco Pineda","Francisco Javier Carpio Pineda"
"José Pikabea","José Antonio Pikabea"
"Aymen Mohamed","Aymen Ben Mohamed"
"Diego Miguel","Diego de Miguel"
"Marcelo Moreno","Marcelo Martins Moreno"
"Bent Johnsen","Bent Inge Johnsen"
"Guénaël Maux","Guénaël Le Maux"
"Óscar Celada","Óscar Luis Celada"
"Mario Atanet","Mario Gómez Atanet"
"Faneva Andriatsima","Faneva Imà Andriatsima"
"Fernando Córdoba","Fernando Gastón Córdoba"
"Claudemir Souza","Claudemir de Souza"
"Brian Nielsen","Brian Steen Nielsen"
"Rui Gracia","Rui Da Gracia"
"John Mosquera","John Jairo Mosquera"
"Gaetano Rosa","Gaetano De Rosa"
"Flórián Jr.","Flórián Albert Jr."
"Miguel Mayé","Miguel Ángel Mayé"
"Salih Akkaya","Salih Sabri Akkaya"
"Amro Soulia","Amro El Soulia"
"Vicente Núñez","Vicente Álvarez Núñez"
"Abel Moreno","Abel Gómez Moreno"
"Patrick Napoli","Patrick de Napoli"
"Serge-Junior Ngouali","Serge-Junior Martinsson Ngouali"
"Clayton Cruz","Clayton Ferreira Cruz"
"Ciro Cesare","Ciro De Cesare"
"Niels Kamphuis","Niels Oude Kamphuis"
"Carlos Álvarez","Carlos Pérez Álvarez"
"Jon Hjelde","Jon Olav Hjelde"
"Iván Maceira","Iván Pérez Maceira"
"José Saavedra","José Antonio Rodríguez Saavedra"
"Remco Schaaf","Remco van der Schaaf"
"Emilio González","Emilio Gutiérrez González"
"Eduardo Fernández","Eduardo Rodríguez Fernández"
"Tore Flo","Tore André Flo"
"Iván Muñoz","Iván Pérez Muñoz"
"Miguel Acosta","Miguel Ángel Núñez Acosta"
"Juan Paniagua","Juan Carlos Paniagua"
"Peter Heyden","Peter Van der Heyden"
"Kevin Ellegaard","Kevin Stuhr Ellegaard"
"Giovanni Bronckhorst","Giovanni van Bronckhorst"
"Javier Vallejo","Javier López Vallejo"
"Bruno Mbanangoyé","Bruno Zita Mbanangoyé"
"Boris Ngonga","Boris Moubhio Ngonga"
"Juan Borrelli","Juan José Borrelli"
"Yao Sènaya","Yao Mawuko Sènaya"
"Juan Ureña","Juan Antonio Ureña"
"Waldir Pereira","Waldir Lucas Pereira"
"Gilles Yapo","Gilles Yapi Yapo"
"Francisco Rodríguez","Francisco Javier Rodríguez"
"José Perera","José Jesús Perera"
"Björn Doelen","Björn van der Doelen"
"José Gordillo","José Gil Gordillo"
"Juan López","Juan Manuel López"
"Ricardo Silva","Ricardo Emídio Ramalho Silva"
"Peter Heyden","Peter Van der Heyden"
"Serhiy Shevchenko","Serhiy Yakovych Shevchenko"
"George Coser","George Lucas Coser"
"Serge Dizet","Serge Le Dizet"
"Tiziano Patre","Tiziano De Patre"
"Jorge Serna","Jorge Horacio Serna"
"Nicolás Cruz","Nicolás De La Cruz"
"José Melgar","José Milton Melgar"
"Juan Damas","Juan Velasco Damas"
"Abdoulaye Keita","Abdoulaye Khouma Keita"
"Antonio Nigris","Antonio de Nigris"
"William Andrade","William Amaral de Andrade"
"Valentín Sánchez","Valentín Buiza Sánchez"
"José García","José Mari García"
"Gilles Bilde","Gilles De Bilde"
"José Diezma","José Luis Diezma"
"Ali Hassan","Ali Al Hassan"
"Hannes Halldórsson","Hannes Þór Halldórsson"
"Robert Motta","Robert Piris Da Motta"
"Cléber Arado","Cléber Eduardo Arado"
"Emanuel Vaz","Emanuel Patrick Vaz"
"Flavien Postollec","Flavien Le Postollec"
"José Tinaut","José Antonio Peraile Tinaut"
"John Jong","John de Jong"
"Dick Burik","Dick van Burik"
"Renan Soares","Renan Brito Soares"
"Graeme Saux","Graeme Le Saux"
"Francisco Camarasa","Francisco José Camarasa"
"Fabian Freitas","Fabian de Freitas"
"Rogelio Heredia","Rogelio Lamar Heredia"
"Manuel Costa","Manuel da Costa"
"Hosny Rabo","Hosny Abd Rabo"
"Baher Mohamady","Baher El Mohamady"
"Luís Viana","Luís Manuel Rodrigues Viana"
"Félix Caicedo","Félix Torres Caicedo"
"Gerald Jr.","Gerald Phiri Jr."
"Ulises Cruz","Ulises de la Cruz"
"Wim Ron","Wim de Ron"
"Khalefa Mohamed","Khalefa Ahmed Mohamed"
"Luis Vega","Luis Manuel Arias Vega"
"Elsadig Jarif","Elsadig Al Jarif"
"John Rijswijck","John van Rijswijck"
"Pape Sow","Pape Habib Sow"
"Silvano Garibaldi","Silvano Raggio Garibaldi"
"Juan Balaguer","Juan Carlos Balaguer"
"Mustafa Fadni","Mustafa El Fadni"
"Douglas Silva","Douglas da Silva"
"Ole Sundgot","Ole Bjørn Sundgot"
"Luis Herrera","Luis Fernando Herrera"
"Jan Hurtado","Jan Carlos Hurtado"
"Fabrice Marcolino","Fabrice Do Marcolino"
"Ole Solskjær","Ole Gunnar Solskjær"
"Claudio Sousa","Claudio De Sousa"
"Antonio Alfaro","Antonio López Alfaro"
"Ricardo Estévão","Ricardo Job Estévão"
"Alberto Moreno","Alberto López Moreno"
"Frank Boer","Frank de Boer"
"Raúl Marcos","Raúl Lozano Marcos"
"Fernando Costa","Fernando Agostinho da Costa"
"José Sagra","José Antonio de la Sagra"
"Gilles Yapo","Gilles Yapi Yapo"
"Raúl Galdón","Raúl Ibáñez Galdón"
"Jørgen Jensen","Jørgen Juul Jensen"
"John Wolf","John de Wolf"
"Pierre Regonesi","Pierre Giorgio Regonesi"
"Knut Eggen","Knut Torbjørn Eggen"
"Sékou Sylla","Sékou Oumar Sylla"
"José Alexanko","José Ramón Alexanko"
"Claudio Pochintesta","Claudio Patti Pochintesta"
"Jos Nieuwstadt","Jos van Nieuwstadt"
"Ramón Bello","Ramón Medina Bello"
"Dominique Maele","Dominique Van Maele"
"Faysal Ahmed","Faysal Ben Ahmed"
"Nivaldo Santos","Nivaldo Alves Freitas Santos"
"Brahim Bahri","Brahim El Bahri"
"Sebastián Hernández","Sebastián Esparza Hernández"
"Antonio García","Antonio Estévez García"
"Juan Rando","Juan Antonio Santaella Rando"
"Hakim Bounadi","Hakim El Bounadi"
"Samuel Gouet","Samuel Oum Gouet"
"Noah Sundberg","Noah Sonko Sundberg"
"Nando Neves","Nando Maria Neves"
"Francisco Soriano","Francisco Julián Villena Soriano"
"Rolan Cruz","Rolan de la Cruz"
"Juan Perales","Juan de Dios Ramírez Perales"
"Fernando Colomer","Fernando Gómez Colomer"
"Jordi Matute","Jordi Bretón Matute"
"Luis Salvador","Luis Miguel Salvador"
"Yves Ilunga","Yves Diba Ilunga"
"Ayoub Kaabi","Ayoub El Kaabi"
"Juan García","Juan Carlos García"
"Ferry Haan","Ferry de Haan"
"Abdullah Ahrak","Abdullah Al Ahrak"
"Leif Salte","Leif Rune Salte"
"Bruno Mota","Bruno Fontes da Mota"
"Ola Rise","Ola By Rise"
"Alfonso Cabrera","Alfonso Cortijo Cabrera"
"Daniele Donato","Daniele Di Donato"
"Aldair Baldé","Aldair Adulai Djaló Baldé"
"Gorka Carlos","Gorka de Carlos"
"Halil Kara","Halil İbrahim Kara"
"Michael Murillo","Michael Amir Murillo"
"Luis Gutiérrez","Luis Alberto Gutiérrez"
"Tomás Rivera","Tomás González Rivera"
"Hassan Tambakti","Hassan Al Tambakti"
"Gilles Bilde","Gilles De Bilde"
"Fahad Muwallad","Fahad Al Muwallad"
"Daniel Kome","Daniel N'Gom Kome"
"Adri Tiggelen","Adri van Tiggelen"
"Rocco Paris","Rocco Roberto Paris"
"Raimond Gouw","Raimond van der Gouw"
"Jan Steenberghe","Jan Van Steenberghe"
"Ivano Morte","Ivano Della Morte"
"César Ramírez","César Augusto Ramírez"
"David Tommaso","David Di Tommaso"
"Papa Diop","Papa Bouba Diop"
"André Garcia","André Luís Garcia"
"Jesús Lacruz","Jesús María Lacruz"
"Palmiro Dio","Palmiro Di Dio"
"Ed Goey","Ed de Goey"
"Badr Eldoud","Badr Eldin Eldoud"
"Hamed Diallo","Hamed Modibo Diallo"
"Antonio Salvo","Antonio Di Salvo"
"Mohamed Moncer","Mohamed Ali Moncer"
"Gabriel Jaramillo","Gabriel Jaime Gómez Jaramillo"
"Jesús Landaluce","Jesús Merino Landaluce"
"José Yanguas","José Manuel Yanguas"
"Luis Perea","Luis Carlos Perea"
"Ricardo Pinto","Ricardo Sá Pinto"
"Juan Arce","Juan Carlos Arce"
"Erik Andersen","Erik Bo Andersen"
"Manuel Jamuana","Manuel Alexandre Jamuana"
"Juan Cañas","Juan José Cañas"
"Miquel Crespí","Miquel Buades Crespí"
"Kristinn Jónsson","Kristinn Rúnar Jónsson"
"Daniele Vezze","Daniele De Vezze"
"Miguel Tena","Miguel Ángel Tena"
"Marcelo Moreno","Marcelo Martins Moreno"
"Robby Weyer","Robby van de Weyer"
"Pedro Arenas","Pedro Alberto Cano Arenas"
"José Palomino","José Antonio Palomino"
"Roberto Bonillo","Roberto Fernández Bonillo"
"José Rueda","José Manuel Rueda"
"José Velázquez","José Manuel Velázquez"
"Jorge Silva","Jorge Pinto da Silva"
"Luis Rekarte","Luis López Rekarte"
"Gianluca Angelis","Gianluca De Angelis"
"Sergio Martínez","Sergio Daniel Martínez"
"Arnór Traustason","Arnór Ingvi Traustason"
"John Loen","John van Loen"
"José Santamaría","José Luis Santamaría"
"Lorenzo Prete","Lorenzo Del Prete"
"Ted Agasson","Ted Kelton Agasson"
"Yahya Allah","Yahya Attiat Allah"
"Jani Virtanen","Jani Tapani Virtanen"
"José Gay","José Aurelio Gay"
"Gontzal Begeria","Gontzal Suances Begeria"
"Eduardo Silva","Eduardo da Silva"
"Juan Granero","Juan García Granero"
"Felipe Belo","Felipe dal Belo"
"Mohamed Romdhane","Mohamed Ali Ben Romdhane"
"José Caturla","José Rafael Caturla"
"Francisco Pimienta","Francisco Javier García Pimienta"
"Luis Pascual","Luis Pérez Pascual"
"Jesús Sagredo","Jesús Manuel Sagredo"
"Alberto Chiara","Alberto Di Chiara"
"Alf Tveit","Alf Kåre Tveit"
"Tommie Leegte","Tommie van der Leegte"
"José Ochotorena","José Manuel Ochotorena"
"José Serrano","José Antonio Serrano"
"Pedro Gómez","Pedro Hontecillas Gómez"
"Peter Vossen","Peter van Vossen"
"Paulo Silva","Paulo da Silva"
"Gian Manighetti","Gian Paolo Manighetti"
"Marcelo Moreno","Marcelo Martins Moreno"
"Alexandre Cleyton","Alexandre Silva Cleyton"
"Matías Delgado","Matías Emilio Delgado"
"José Mateo","José Manuel Mateo"
"Souheïl Radhia","Souheïl Ben Radhia"
"El Mahgoub","El Muez Mahgoub"
"Jens Larsen","Jens Stryger Larsen"
