outcome,player,league,season,apps,goals,club,name_source,transfermarkt_name
resolved,"Danilo Pereira","Eredivisie",2012,31,1,"Roda",teams~,"Roda JC"
resolved,"Danilo Pereira","Primeira Liga",2013,28,1,"Maritimo",player_stats,"Marítimo"
resolved,"Danilo Pereira","Primeira Liga",2014,29,3,"Maritimo",player_stats,"Marítimo"
resolved,"Danilo Pereira","Primeira Liga",2016,28,4,"Porto",player_stats,""
resolved,"Danilo Pereira","Primeira Liga",2017,19,1,"Porto",player_stats,""
resolved,"Danilo Pereira","Primeira Liga",2018,26,2,"Porto",player_stats,""
resolved,"Danilo Pereira","Primeira Liga",2019,26,2,"Porto",player_stats,""
resolved,"Danilo Pereira","Primeira Liga",2020,3,0,"Porto",player_stats,""
resolved,"Danilo Pereira","Saudi Pro League",2024,26,2,"Al-Ittihad FC",teams,"Al-Ittihad"
resolved,"Danilo Pereira","Saudi Pro League",2025,31,2,"Al-Ittihad FC",teams,"Al-Ittihad"
resolved,"Danny Ings","Championship",2012,32,3,"Burnley",player_stats,""
