outcome,player,league,season,apps,goals,club,name_source,transfermarkt_name
resolved,"André Ayew","Süper Lig",2018,29,5,"Fenerbahçe",player_stats,""
resolved,"André Ayew","Championship",2019,44,15,"Swansea",player_stats,""
resolved,"André Ayew","Championship",2020,43,16,"Swansea",player_stats,""
resolved,"André Ayew","Eredivisie",2025,17,1,"NAC Breda",player_stats,""
resolved,"André Gomes","Primeira Liga",2012,7,1,"Benfica",player_stats,""
resolved,"André Gomes","Primeira Liga",2013,7,1,"Benfica",player_stats,""
resolved,"Andre Gray","Championship",2020,30,5,"Watford",player_stats,""
resolved,"Andre Gray","Championship",2021,28,10,"QPR",player_stats,""
resolved,"André-Pierre Gignac","UEFA Europa League",2007,5,1,"Toulouse",player_stats,""
resolved,"André Silva","Primeira Liga",2016,32,16,"Porto",player_stats,""
resolved,"Andrew Robertson","Championship",2015,42,2,"Hull City",player_stats,""
resolved,"Andros Townsend","Championship",2024,1,0,"Luton",player_stats,""
resolved,"Andros Townsend","Süper Lig",2024,18,0,"Antalyaspor",teams,""
resolved,"Anel Ahmedhodzic","Championship",2022,34,6,"Sheffield Utd",alias,"Sheff Utd"
resolved,"Anel Ahmedhodzic","Championship",2024,38,3,"Sheffield Utd",alias,"Sheff Utd"
resolved,"Anel Ahmedhodzic","Eredivisie",2025,26,0,"Feyenoord",player_stats,""
resolved,"Angel Gomes","Primeira Liga",2020,30,6,"Boavista",player_stats,""
resolved,"Angeliño","Eredivisie",2017,34,3,"NAC Breda",player_stats,""
resolved,"Angeliño","Eredivisie",2018,34,1,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Angeliño","Süper Lig",2023,8,0,"Galatasaray",player_stats,""
resolved,"Ângelo","Saudi Pro League",2024,25,1,"Al-Nassr",teams,""
resolved,"Ângelo","Saudi Pro League",2025,25,4,"Al-Nassr",teams,""
resolved,"Anthony Gordon","Championship",2020,11,0,"Preston",teams,""
resolved,"Antoine Semenyo","Championship",2017,1,0,"Bath City",teams,""
resolved,"Antoine Semenyo","Championship",2020,44,2,"Bristol City",teams,""
resolved,"Antoine Semenyo","Championship",2021,31,8,"Bristol City",teams,""
resolved,"Antoine Semenyo","Championship",2022,23,6,"Bristol City",teams,""
resolved,"Antonee Robinson","Championship",2017,30,0,"Bolton",player_stats,""
resolved,"Antonee Robinson","Championship",2018,26,0,"Wigan",player_stats,""
resolved,"Antonee Robinson","Championship",2019,38,1,"Wigan",player_stats,""
resolved,"Antonee Robinson","Championship",2021,36,2,"Fulham",player_stats,""
resolved,"Antoni Milambo","Eredivisie",2022,3,0,"Feyenoord",player_stats,""
resolved,"Antoni Milambo","Eredivisie",2023,8,1,"Feyenoord",player_stats,""
resolved,"Antoni Milambo","Eredivisie",2024,29,3,"Feyenoord",player_stats,""
resolved,"Antony","Eredivisie",2020,32,9,"Ajax",player_stats,""
resolved,"Antony","Eredivisie",2021,23,8,"Ajax",player_stats,""
resolved,"Antony","Eredivisie",2022,2,1,"Ajax",player_stats,""
resolved,"Archie Gray","Championship",2023,44,0,"Leeds",player_stats,""
resolved,"Arda Güler","Süper Lig",2021,12,3,"Fenerbahçe",player_stats,""
